AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Anaplastic oligodendroglioma|2007
0-19|~|~|~|Malignant|~|40382360|Female|Anaplastic oligodendroglioma|2007
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Anaplastic oligodendroglioma|2008
0-19|~|~|~|Malignant|~|40576293|Female|Anaplastic oligodendroglioma|2008
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Anaplastic oligodendroglioma|2009
0-19|~|~|~|Malignant|~|40670476|Female|Anaplastic oligodendroglioma|2009
0-19|~|~|~|Benign/Borderline|~|40652091|Female|Anaplastic oligodendroglioma|2010
0-19|~|~|~|Malignant|~|40652091|Female|Anaplastic oligodendroglioma|2010
0-19|~|~|~|Benign/Borderline|~|40556179|Female|Anaplastic oligodendroglioma|2011
0-19|~|~|~|Malignant|~|40556179|Female|Anaplastic oligodendroglioma|2011
0-19|~|~|~|Benign/Borderline|~|40478537|Female|Anaplastic oligodendroglioma|2012
0-19|~|~|~|Malignant|~|40478537|Female|Anaplastic oligodendroglioma|2012
0-19|~|~|~|Benign/Borderline|~|40458251|Female|Anaplastic oligodendroglioma|2013
0-19|~|~|~|Malignant|~|40458251|Female|Anaplastic oligodendroglioma|2013
0-19|~|~|~|Benign/Borderline|~|40476449|Female|Anaplastic oligodendroglioma|2014
0-19|~|~|~|Malignant|~|40476449|Female|Anaplastic oligodendroglioma|2014
0-19|~|~|~|Benign/Borderline|~|40548779|Female|Anaplastic oligodendroglioma|2015
0-19|~|~|~|Malignant|~|40548779|Female|Anaplastic oligodendroglioma|2015
0-19|~|~|~|Benign/Borderline|~|40650115|Female|Anaplastic oligodendroglioma|2016
0-19|~|~|~|Malignant|~|40650115|Female|Anaplastic oligodendroglioma|2016
0-19|~|~|~|Benign/Borderline|~|40703047|Female|Anaplastic oligodendroglioma|2017
0-19|~|~|~|Malignant|~|40703047|Female|Anaplastic oligodendroglioma|2017
0-19|~|~|~|Benign/Borderline|~|40705737|Female|Anaplastic oligodendroglioma|2018
0-19|~|~|~|Malignant|~|40705737|Female|Anaplastic oligodendroglioma|2018
0-19|~|~|~|Benign/Borderline|~|201996736|Female|Anaplastic oligodendroglioma|2018-2022
0-19|~|~|~|Malignant|~|201996736|Female|Anaplastic oligodendroglioma|2018-2022
0-19|~|~|~|Benign/Borderline|~|40650648|Female|Anaplastic oligodendroglioma|2019
0-19|~|~|~|Malignant|~|40650648|Female|Anaplastic oligodendroglioma|2019
0-19|~|~|~|Benign/Borderline|~|40481966|Female|Anaplastic oligodendroglioma|2020
0-19|~|~|~|Malignant|~|40481966|Female|Anaplastic oligodendroglioma|2020
0-19|~|~|~|Benign/Borderline|~|40152307|Female|Anaplastic oligodendroglioma|2021
0-19|~|~|~|Malignant|~|40152307|Female|Anaplastic oligodendroglioma|2021
0-19|~|~|~|Benign/Borderline|~|40006078|Female|Anaplastic oligodendroglioma|2022
0-19|~|~|~|Malignant|~|40006078|Female|Anaplastic oligodendroglioma|2022
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Astrocytoma, NOS|2004
0-19|0.2|0.3|0.2|Malignant|92|39865121|Female|Astrocytoma, NOS|2004
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Astrocytoma, NOS|2005
0-19|0.2|0.3|0.2|Malignant|92|39998876|Female|Astrocytoma, NOS|2005
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Astrocytoma, NOS|2006
0-19|0.2|0.3|0.2|Malignant|89|40165421|Female|Astrocytoma, NOS|2006
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Astrocytoma, NOS|2007
0-19|0.2|0.3|0.2|Malignant|85|40382360|Female|Astrocytoma, NOS|2007
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Astrocytoma, NOS|2008
0-19|0.2|0.3|0.2|Malignant|87|40576293|Female|Astrocytoma, NOS|2008
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Astrocytoma, NOS|2009
0-19|0.2|0.3|0.2|Malignant|97|40670476|Female|Astrocytoma, NOS|2009
0-19|~|~|~|Benign/Borderline|~|40652091|Female|Astrocytoma, NOS|2010
0-19|0.2|0.3|0.2|Malignant|91|40652091|Female|Astrocytoma, NOS|2010
0-19|~|~|~|Benign/Borderline|~|40556179|Female|Astrocytoma, NOS|2011
0-19|0.2|0.2|0.2|Malignant|80|40556179|Female|Astrocytoma, NOS|2011
0-19|~|~|~|Benign/Borderline|~|40478537|Female|Astrocytoma, NOS|2012
0-19|0.2|0.3|0.2|Malignant|83|40478537|Female|Astrocytoma, NOS|2012
0-19|~|~|~|Benign/Borderline|~|40458251|Female|Astrocytoma, NOS|2013
0-19|0.2|0.3|0.2|Malignant|99|40458251|Female|Astrocytoma, NOS|2013
0-19|~|~|~|Benign/Borderline|~|40476449|Female|Astrocytoma, NOS|2014
0-19|0.2|0.3|0.3|Malignant|105|40476449|Female|Astrocytoma, NOS|2014
0-19|~|~|~|Benign/Borderline|~|40548779|Female|Astrocytoma, NOS|2015
0-19|0.1|0.2|0.2|Malignant|76|40548779|Female|Astrocytoma, NOS|2015
0-19|~|~|~|Benign/Borderline|~|40650115|Female|Astrocytoma, NOS|2016
0-19|0.2|0.3|0.2|Malignant|84|40650115|Female|Astrocytoma, NOS|2016
0-19|~|~|~|Benign/Borderline|~|40703047|Female|Astrocytoma, NOS|2017
0-19|0.2|0.2|0.2|Malignant|81|40703047|Female|Astrocytoma, NOS|2017
0-19|~|~|~|Benign/Borderline|~|40705737|Female|Astrocytoma, NOS|2018
0-19|0.2|0.3|0.2|Malignant|87|40705737|Female|Astrocytoma, NOS|2018
0-19|~|~|~|Benign/Borderline|~|201996736|Female|Astrocytoma, NOS|2018-2022
0-19|0.1|0.2|0.2|Malignant|334|201996736|Female|Astrocytoma, NOS|2018-2022
0-19|~|~|~|Benign/Borderline|~|40650648|Female|Astrocytoma, NOS|2019
0-19|0.1|0.2|0.2|Malignant|77|40650648|Female|Astrocytoma, NOS|2019
0-19|~|~|~|Benign/Borderline|~|40481966|Female|Astrocytoma, NOS|2020
0-19|0.1|0.2|0.1|Malignant|53|40481966|Female|Astrocytoma, NOS|2020
0-19|~|~|~|Benign/Borderline|~|40152307|Female|Astrocytoma, NOS|2021
0-19|0.1|0.2|0.2|Malignant|68|40152307|Female|Astrocytoma, NOS|2021
0-19|~|~|~|Benign/Borderline|~|40006078|Female|Astrocytoma, NOS|2022
0-19|0.1|0.2|0.1|Malignant|49|40006078|Female|Astrocytoma, NOS|2022
0-19|0.1|0.1|0.1|Benign/Borderline|30|39865121|Female|Choroid plexus|2004
0-19|~|~|~|Malignant|~|39865121|Female|Choroid plexus|2004
0-19|0.0|0.1|0.1|Benign/Borderline|22|39998876|Female|Choroid plexus|2005
0-19|~|~|~|Malignant|~|39998876|Female|Choroid plexus|2005
0-19|0.0|0.1|0.1|Benign/Borderline|28|40165421|Female|Choroid plexus|2006
0-19|~|~|~|Malignant|~|40165421|Female|Choroid plexus|2006
0-19|0.1|0.1|0.1|Benign/Borderline|31|40382360|Female|Choroid plexus|2007
0-19|~|~|~|Malignant|~|40382360|Female|Choroid plexus|2007
0-19|0.1|0.1|0.1|Benign/Borderline|42|40576293|Female|Choroid plexus|2008
0-19|~|~|~|Malignant|~|40576293|Female|Choroid plexus|2008
0-19|0.0|0.1|0.1|Benign/Borderline|24|40670476|Female|Choroid plexus|2009
0-19|~|~|~|Malignant|~|40670476|Female|Choroid plexus|2009
0-19|0.0|0.1|0.1|Benign/Borderline|29|40652091|Female|Choroid plexus|2010
0-19|~|~|~|Malignant|~|40652091|Female|Choroid plexus|2010
0-19|0.0|0.1|0.1|Benign/Borderline|27|40556179|Female|Choroid plexus|2011
0-19|~|~|~|Malignant|~|40556179|Female|Choroid plexus|2011
0-19|0.0|0.1|0.1|Benign/Borderline|27|40478537|Female|Choroid plexus|2012
0-19|~|~|~|Malignant|~|40478537|Female|Choroid plexus|2012
0-19|0.1|0.1|0.1|Benign/Borderline|30|40458251|Female|Choroid plexus|2013
0-19|~|~|~|Malignant|~|40458251|Female|Choroid plexus|2013
0-19|0.0|0.1|0.0|Benign/Borderline|20|40476449|Female|Choroid plexus|2014
0-19|~|~|~|Malignant|~|40476449|Female|Choroid plexus|2014
0-19|0.1|0.1|0.1|Benign/Borderline|32|40548779|Female|Choroid plexus|2015
0-19|~|~|~|Malignant|~|40548779|Female|Choroid plexus|2015
0-19|0.0|0.1|0.1|Benign/Borderline|23|40650115|Female|Choroid plexus|2016
0-19|~|~|~|Malignant|~|40650115|Female|Choroid plexus|2016
0-19|0.1|0.1|0.1|Benign/Borderline|34|40703047|Female|Choroid plexus|2017
0-19|~|~|~|Malignant|~|40703047|Female|Choroid plexus|2017
0-19|0.0|0.1|0.1|Benign/Borderline|27|40705737|Female|Choroid plexus|2018
0-19|~|~|~|Malignant|~|40705737|Female|Choroid plexus|2018
0-19|0.1|0.1|0.1|Benign/Borderline|122|201996736|Female|Choroid plexus|2018-2022
0-19|0.0|0.0|0.0|Malignant|43|201996736|Female|Choroid plexus|2018-2022
0-19|0.0|0.1|0.1|Benign/Borderline|24|40650648|Female|Choroid plexus|2019
0-19|~|~|~|Malignant|~|40650648|Female|Choroid plexus|2019
0-19|0.0|0.1|0.1|Benign/Borderline|28|40481966|Female|Choroid plexus|2020
0-19|~|~|~|Malignant|~|40481966|Female|Choroid plexus|2020
0-19|0.0|0.1|0.1|Benign/Borderline|21|40152307|Female|Choroid plexus|2021
0-19|~|~|~|Malignant|~|40152307|Female|Choroid plexus|2021
0-19|0.0|0.1|0.1|Benign/Borderline|22|40006078|Female|Choroid plexus|2022
0-19|~|~|~|Malignant|~|40006078|Female|Choroid plexus|2022
0-19|0.2|0.3|0.2|Benign/Borderline|85|39865121|Female|Craniopharyngioma|2004
0-19|~|~|~|Malignant|~|39865121|Female|Craniopharyngioma|2004
0-19|0.2|0.2|0.2|Benign/Borderline|78|39998876|Female|Craniopharyngioma|2005
0-19|~|~|~|Malignant|~|39998876|Female|Craniopharyngioma|2005
0-19|0.2|0.2|0.2|Benign/Borderline|77|40165421|Female|Craniopharyngioma|2006
0-19|~|~|~|Malignant|~|40165421|Female|Craniopharyngioma|2006
0-19|0.2|0.3|0.2|Benign/Borderline|96|40382360|Female|Craniopharyngioma|2007
0-19|~|~|~|Malignant|~|40382360|Female|Craniopharyngioma|2007
0-19|0.1|0.2|0.2|Benign/Borderline|67|40576293|Female|Craniopharyngioma|2008
0-19|~|~|~|Malignant|~|40576293|Female|Craniopharyngioma|2008
0-19|0.2|0.3|0.2|Benign/Borderline|91|40670476|Female|Craniopharyngioma|2009
0-19|~|~|~|Malignant|~|40670476|Female|Craniopharyngioma|2009
0-19|0.2|0.3|0.2|Benign/Borderline|94|40652091|Female|Craniopharyngioma|2010
0-19|~|~|~|Malignant|~|40652091|Female|Craniopharyngioma|2010
0-19|0.2|0.3|0.2|Benign/Borderline|87|40556179|Female|Craniopharyngioma|2011
0-19|~|~|~|Malignant|~|40556179|Female|Craniopharyngioma|2011
0-19|0.2|0.2|0.2|Benign/Borderline|78|40478537|Female|Craniopharyngioma|2012
0-19|~|~|~|Malignant|~|40478537|Female|Craniopharyngioma|2012
0-19|0.2|0.3|0.2|Benign/Borderline|89|40458251|Female|Craniopharyngioma|2013
0-19|~|~|~|Malignant|~|40458251|Female|Craniopharyngioma|2013
0-19|0.2|0.3|0.2|Benign/Borderline|94|40476449|Female|Craniopharyngioma|2014
0-19|~|~|~|Malignant|~|40476449|Female|Craniopharyngioma|2014
0-19|0.2|0.3|0.2|Benign/Borderline|82|40548779|Female|Craniopharyngioma|2015
0-19|~|~|~|Malignant|~|40548779|Female|Craniopharyngioma|2015
0-19|0.1|0.2|0.2|Benign/Borderline|68|40650115|Female|Craniopharyngioma|2016
0-19|~|~|~|Malignant|~|40650115|Female|Craniopharyngioma|2016
0-19|0.2|0.2|0.2|Benign/Borderline|80|40703047|Female|Craniopharyngioma|2017
0-19|~|~|~|Malignant|~|40703047|Female|Craniopharyngioma|2017
0-19|0.1|0.2|0.1|Benign/Borderline|55|40705737|Female|Craniopharyngioma|2018
0-19|~|~|~|Malignant|~|40705737|Female|Craniopharyngioma|2018
0-19|0.2|0.2|0.2|Benign/Borderline|356|201996736|Female|Craniopharyngioma|2018-2022
0-19|~|~|~|Malignant|~|201996736|Female|Craniopharyngioma|2018-2022
0-19|0.2|0.3|0.2|Benign/Borderline|86|40650648|Female|Craniopharyngioma|2019
0-19|~|~|~|Malignant|~|40650648|Female|Craniopharyngioma|2019
0-19|0.1|0.2|0.2|Benign/Borderline|72|40481966|Female|Craniopharyngioma|2020
0-19|~|~|~|Malignant|~|40481966|Female|Craniopharyngioma|2020
0-19|0.2|0.2|0.2|Benign/Borderline|78|40152307|Female|Craniopharyngioma|2021
0-19|~|~|~|Malignant|~|40152307|Female|Craniopharyngioma|2021
0-19|0.1|0.2|0.2|Benign/Borderline|65|40006078|Female|Craniopharyngioma|2022
0-19|~|~|~|Malignant|~|40006078|Female|Craniopharyngioma|2022
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Diffuse astrocytoma|2004
0-19|0.0|0.1|0.1|Malignant|20|39865121|Female|Diffuse astrocytoma|2004
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Diffuse astrocytoma|2005
0-19|0.0|0.1|0.0|Malignant|20|39998876|Female|Diffuse astrocytoma|2005
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Diffuse astrocytoma|2006
0-19|~|~|~|Malignant|~|40165421|Female|Diffuse astrocytoma|2006
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Diffuse astrocytoma|2007
0-19|0.0|0.1|0.0|Malignant|16|40382360|Female|Diffuse astrocytoma|2007
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Diffuse astrocytoma|2008
0-19|0.0|0.1|0.1|Malignant|21|40576293|Female|Diffuse astrocytoma|2008
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Diffuse astrocytoma|2009
0-19|0.0|0.1|0.0|Malignant|19|40670476|Female|Diffuse astrocytoma|2009
0-19|~|~|~|Benign/Borderline|~|40652091|Female|Diffuse astrocytoma|2010
0-19|0.0|0.1|0.0|Malignant|19|40652091|Female|Diffuse astrocytoma|2010
0-19|~|~|~|Benign/Borderline|~|40556179|Female|Diffuse astrocytoma|2011
0-19|~|~|~|Malignant|~|40556179|Female|Diffuse astrocytoma|2011
0-19|~|~|~|Benign/Borderline|~|40478537|Female|Diffuse astrocytoma|2012
0-19|~|~|~|Malignant|~|40478537|Female|Diffuse astrocytoma|2012
0-19|~|~|~|Benign/Borderline|~|40458251|Female|Diffuse astrocytoma|2013
0-19|~|~|~|Malignant|~|40458251|Female|Diffuse astrocytoma|2013
0-19|~|~|~|Benign/Borderline|~|40476449|Female|Diffuse astrocytoma|2014
0-19|~|~|~|Malignant|~|40476449|Female|Diffuse astrocytoma|2014
0-19|~|~|~|Benign/Borderline|~|40548779|Female|Diffuse astrocytoma|2015
0-19|~|~|~|Malignant|~|40548779|Female|Diffuse astrocytoma|2015
0-19|~|~|~|Benign/Borderline|~|40650115|Female|Diffuse astrocytoma|2016
0-19|~|~|~|Malignant|~|40650115|Female|Diffuse astrocytoma|2016
0-19|~|~|~|Benign/Borderline|~|40703047|Female|Diffuse astrocytoma|2017
0-19|~|~|~|Malignant|~|40703047|Female|Diffuse astrocytoma|2017
0-19|~|~|~|Benign/Borderline|~|40705737|Female|Diffuse astrocytoma|2018
0-19|~|~|~|Malignant|~|40705737|Female|Diffuse astrocytoma|2018
0-19|~|~|~|Benign/Borderline|~|201996736|Female|Diffuse astrocytoma|2018-2022
0-19|~|~|~|Malignant|~|201996736|Female|Diffuse astrocytoma|2018-2022
0-19|~|~|~|Benign/Borderline|~|40650648|Female|Diffuse astrocytoma|2019
0-19|~|~|~|Malignant|~|40650648|Female|Diffuse astrocytoma|2019
0-19|~|~|~|Benign/Borderline|~|40481966|Female|Diffuse astrocytoma|2020
0-19|~|~|~|Malignant|~|40481966|Female|Diffuse astrocytoma|2020
0-19|~|~|~|Benign/Borderline|~|40152307|Female|Diffuse astrocytoma|2021
0-19|~|~|~|Malignant|~|40152307|Female|Diffuse astrocytoma|2021
0-19|~|~|~|Benign/Borderline|~|40006078|Female|Diffuse astrocytoma|2022
0-19|~|~|~|Malignant|~|40006078|Female|Diffuse astrocytoma|2022
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Embryonal/primitive/medulloblastoma|2004
0-19|0.5|0.6|0.5|Malignant|213|39865121|Female|Embryonal/primitive/medulloblastoma|2004
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Embryonal/primitive/medulloblastoma|2005
0-19|0.4|0.5|0.5|Malignant|185|39998876|Female|Embryonal/primitive/medulloblastoma|2005
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Embryonal/primitive/medulloblastoma|2006
0-19|0.4|0.6|0.5|Malignant|204|40165421|Female|Embryonal/primitive/medulloblastoma|2006
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Embryonal/primitive/medulloblastoma|2007
0-19|0.5|0.6|0.5|Malignant|218|40382360|Female|Embryonal/primitive/medulloblastoma|2007
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Embryonal/primitive/medulloblastoma|2008
0-19|0.5|0.6|0.6|Malignant|228|40576293|Female|Embryonal/primitive/medulloblastoma|2008
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Embryonal/primitive/medulloblastoma|2009
0-19|0.4|0.6|0.5|Malignant|204|40670476|Female|Embryonal/primitive/medulloblastoma|2009
0-19|~|~|~|Benign/Borderline|~|40652091|Female|Embryonal/primitive/medulloblastoma|2010
0-19|0.4|0.5|0.4|Malignant|173|40652091|Female|Embryonal/primitive/medulloblastoma|2010
0-19|~|~|~|Benign/Borderline|~|40556179|Female|Embryonal/primitive/medulloblastoma|2011
0-19|0.4|0.6|0.5|Malignant|196|40556179|Female|Embryonal/primitive/medulloblastoma|2011
0-19|~|~|~|Benign/Borderline|~|40478537|Female|Embryonal/primitive/medulloblastoma|2012
0-19|0.4|0.5|0.4|Malignant|181|40478537|Female|Embryonal/primitive/medulloblastoma|2012
0-19|~|~|~|Benign/Borderline|~|40458251|Female|Embryonal/primitive/medulloblastoma|2013
0-19|0.4|0.5|0.5|Malignant|188|40458251|Female|Embryonal/primitive/medulloblastoma|2013
0-19|~|~|~|Benign/Borderline|~|40476449|Female|Embryonal/primitive/medulloblastoma|2014
0-19|0.5|0.6|0.5|Malignant|213|40476449|Female|Embryonal/primitive/medulloblastoma|2014
0-19|~|~|~|Benign/Borderline|~|40548779|Female|Embryonal/primitive/medulloblastoma|2015
0-19|0.4|0.6|0.5|Malignant|193|40548779|Female|Embryonal/primitive/medulloblastoma|2015
0-19|~|~|~|Benign/Borderline|~|40650115|Female|Embryonal/primitive/medulloblastoma|2016
0-19|0.4|0.5|0.4|Malignant|174|40650115|Female|Embryonal/primitive/medulloblastoma|2016
0-19|~|~|~|Benign/Borderline|~|40703047|Female|Embryonal/primitive/medulloblastoma|2017
0-19|0.4|0.5|0.4|Malignant|169|40703047|Female|Embryonal/primitive/medulloblastoma|2017
0-19|~|~|~|Benign/Borderline|~|40705737|Female|Embryonal/primitive/medulloblastoma|2018
0-19|0.3|0.5|0.4|Malignant|157|40705737|Female|Embryonal/primitive/medulloblastoma|2018
0-19|~|~|~|Benign/Borderline|~|201996736|Female|Embryonal/primitive/medulloblastoma|2018-2022
0-19|0.3|0.3|0.3|Malignant|629|201996736|Female|Embryonal/primitive/medulloblastoma|2018-2022
0-19|~|~|~|Benign/Borderline|~|40650648|Female|Embryonal/primitive/medulloblastoma|2019
0-19|0.2|0.4|0.3|Malignant|120|40650648|Female|Embryonal/primitive/medulloblastoma|2019
0-19|~|~|~|Benign/Borderline|~|40481966|Female|Embryonal/primitive/medulloblastoma|2020
0-19|0.3|0.4|0.3|Malignant|133|40481966|Female|Embryonal/primitive/medulloblastoma|2020
0-19|~|~|~|Benign/Borderline|~|40152307|Female|Embryonal/primitive/medulloblastoma|2021
0-19|0.3|0.4|0.3|Malignant|124|40152307|Female|Embryonal/primitive/medulloblastoma|2021
0-19|~|~|~|Benign/Borderline|~|40006078|Female|Embryonal/primitive/medulloblastoma|2022
0-19|0.2|0.3|0.2|Malignant|95|40006078|Female|Embryonal/primitive/medulloblastoma|2022
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Ependymoma variants|2004
0-19|~|~|~|Malignant|~|39865121|Female|Ependymoma variants|2004
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Ependymoma variants|2005
