AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR
0.2|0.5|0.3|20|XIIb Other unspecified malignant tumors|59151007|0-14|All Races|Male and Female|1999
~|~|~|~|XIa Adrenocortical carcinomas|59151007|0-14|All Races|Male and Female|1999
1.5|2.3|1.9|111|XIb Thyroid carcinomas|59151007|0-14|All Races|Male and Female|1999
0.2|0.6|0.4|23|XIc Nasopharyngeal carcinomas|59151007|0-14|All Races|Male and Female|1999
1.4|2.1|1.8|104|XId Malignant melanomas|59151007|0-14|All Races|Male and Female|1999
~|~|~|~|XIe Skin carcinomas|59151007|0-14|All Races|Male and Female|1999
1.1|1.8|1.4|84|XIf Other and unspecified carcinomas|59151007|0-14|All Races|Male and Female|1999
1.0|1.6|1.3|76|Xa Intracranial and intraspinal germ cell tumors|59151007|0-14|All Races|Male and Female|1999
1.1|1.7|1.3|78|Xb Malignant extracranial and extragonadal germ cell tumors|59151007|0-14|All Races|Male and Female|1999
1.8|2.5|2.1|125|Xc Malignant gonadal germ cell tumors|59151007|0-14|All Races|Male and Female|1999
~|~|~|~|Xd Gonadal carcinomas|59151007|0-14|All Races|Male and Female|1999
~|~|~|~|Xe Other and unspecified malignant gonadal tumors|59151007|0-14|All Races|Male and Female|1999
145.9|152.2|149.0|8843|All ICCC Groups Combined|59476204|0-14|All Races|Male and Female|2000
44.1|47.6|45.9|2716|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|59476204|0-14|All Races|Male and Female|2000
15.5|17.6|16.6|987|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|59476204|0-14|All Races|Male and Female|2000
31.1|34.1|32.6|1935|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|59476204|0-14|All Races|Male and Female|2000
2.3|3.1|2.7|157|IIIa Ependymomas and choroid plexus tumor|59476204|0-14|All Races|Male and Female|2000
15.6|17.7|16.7|991|IIIb Astrocytomas|59476204|0-14|All Races|Male and Female|2000
6.7|8.2|7.4|441|IIIc Intracranial and intraspinal embryonal tumors|59476204|0-14|All Races|Male and Female|2000
4.1|5.2|4.6|276|IIId Other gliomas|59476204|0-14|All Races|Male and Female|2000
0.3|0.7|0.5|29|IIIe Other specified intracranial and intraspinal neoplasms|59476204|0-14|All Races|Male and Female|2000
0.5|0.9|0.7|41|IIIf Unspecified intracranial and intraspinal neoplasms|59476204|0-14|All Races|Male and Female|2000
5.2|6.5|5.8|349|IIa Hodgkin lymphomas|59476204|0-14|All Races|Male and Female|2000
5.4|6.6|6.0|356|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|59476204|0-14|All Races|Male and Female|2000
2.4|3.3|2.8|168|IIc Burkitt lymphoma|59476204|0-14|All Races|Male and Female|2000
1.0|1.6|1.3|78|IId Miscellaneous lymphoreticular neoplasms|59476204|0-14|All Races|Male and Female|2000
0.4|0.8|0.6|36|IIe Unspecified lymphomas|59476204|0-14|All Races|Male and Female|2000
9.3|10.9|10.1|596|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|59476204|0-14|All Races|Male and Female|2000
9.2|10.8|10.0|588|IVa Neuroblastoma and ganglioneuroblastoma|59476204|0-14|All Races|Male and Female|2000
~|~|~|~|IVb Other peripheral nervous cell tumors|59476204|0-14|All Races|Male and Female|2000
9.5|11.1|10.3|612|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|59476204|0-14|All Races|Male and Female|2000
4.5|5.7|5.1|302|IXa Rhabdomyosarcomas|59476204|0-14|All Races|Male and Female|2000
0.7|1.2|0.9|56|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|59476204|0-14|All Races|Male and Female|2000
~|~|~|~|IXc Kaposi sarcoma|59476204|0-14|All Races|Male and Female|2000
2.8|3.7|3.2|192|IXd Other specified soft tissue sarcomas|59476204|0-14|All Races|Male and Female|2000
0.8|1.3|1.0|61|IXe Unspecified soft tissue sarcomas|59476204|0-14|All Races|Male and Female|2000
35.5|38.6|37.0|2191|Ia Lymphoid leukemias|59476204|0-14|All Races|Male and Female|2000
6.1|7.5|6.8|401|Ib Acute myeloid leukemias|59476204|0-14|All Races|Male and Female|2000
0.5|1.0|0.7|44|Ic Chronic myeloproliferative diseases|59476204|0-14|All Races|Male and Female|2000
~|~|~|~|Id Myelodysplastic syndrome and other myeloproliferative diseases|59476204|0-14|All Races|Male and Female|2000
0.9|1.5|1.2|72|Ie Unspecified and other specified leukemias|59476204|0-14|All Races|Male and Female|2000
0.2|0.5|0.3|17|Not classified by ICCC|59476204|0-14|All Races|Male and Female|2000
3.8|4.9|4.4|257|V RETINOBLASTOMA|59476204|0-14|All Races|Male and Female|2000
8.0|9.5|8.8|517|VI RENAL TUMORS|59476204|0-14|All Races|Male and Female|2000
2.0|2.8|2.4|139|VII HEPATIC TUMORS|59476204|0-14|All Races|Male and Female|2000
5.9|7.2|6.5|390|VIII MALIGNANT BONE TUMORS|59476204|0-14|All Races|Male and Female|2000
3.1|4.1|3.6|213|VIIIa Osteosarcomas|59476204|0-14|All Races|Male and Female|2000
~|~|~|~|VIIIb Chondrosarcomas|59476204|0-14|All Races|Male and Female|2000
2.2|3.1|2.6|156|VIIIc Ewing tumor and related sarcomas of bone|59476204|0-14|All Races|Male and Female|2000
~|~|~|~|VIIId Other specified malignant bone tumors|59476204|0-14|All Races|Male and Female|2000
~|~|~|~|VIIIe Unspecified malignant bone tumors|59476204|0-14|All Races|Male and Female|2000
1.7|2.5|2.1|123|VIIa Hepatoblastoma and mesenchymal tumors of liver|59476204|0-14|All Races|Male and Female|2000
~|~|~|~|VIIb Hepatic carcinomas|59476204|0-14|All Races|Male and Female|2000
~|~|~|~|VIIc Unspecified malignant hepatic tumors|59476204|0-14|All Races|Male and Female|2000
7.6|9.1|8.4|493|VIa Nephroblastoma and other non-epithelial renal tumors|59476204|0-14|All Races|Male and Female|2000
0.2|0.6|0.4|23|VIb Renal carcinomas|59476204|0-14|All Races|Male and Female|2000
~|~|~|~|VIc Unspecified malignant renal tumors|59476204|0-14|All Races|Male and Female|2000
4.4|5.5|4.9|294|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|59476204|0-14|All Races|Male and Female|2000
5.1|6.3|5.7|340|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|59476204|0-14|All Races|Male and Female|2000
0.5|1.0|0.7|43|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|59476204|0-14|All Races|Male and Female|2000
~|~|~|~|XIIa Other specified malignant tumors|59476204|0-14|All Races|Male and Female|2000
0.3|0.7|0.5|30|XIIb Other unspecified malignant tumors|59476204|0-14|All Races|Male and Female|2000
0.2|0.5|0.3|18|XIa Adrenocortical carcinomas|59476204|0-14|All Races|Male and Female|2000
1.6|2.3|1.9|113|XIb Thyroid carcinomas|59476204|0-14|All Races|Male and Female|2000
0.2|0.5|0.3|20|XIc Nasopharyngeal carcinomas|59476204|0-14|All Races|Male and Female|2000
1.4|2.1|1.7|104|XId Malignant melanomas|59476204|0-14|All Races|Male and Female|2000
~|~|~|~|XIe Skin carcinomas|59476204|0-14|All Races|Male and Female|2000
1.1|1.7|1.4|82|XIf Other and unspecified carcinomas|59476204|0-14|All Races|Male and Female|2000
1.2|1.8|1.5|87|Xa Intracranial and intraspinal germ cell tumors|59476204|0-14|All Races|Male and Female|2000
0.8|1.4|1.1|65|Xb Malignant extracranial and extragonadal germ cell tumors|59476204|0-14|All Races|Male and Female|2000
1.9|2.6|2.2|133|Xc Malignant gonadal germ cell tumors|59476204|0-14|All Races|Male and Female|2000
~|~|~|~|Xd Gonadal carcinomas|59476204|0-14|All Races|Male and Female|2000
~|~|~|~|Xe Other and unspecified malignant gonadal tumors|59476204|0-14|All Races|Male and Female|2000
152.8|159.1|155.9|9320|All ICCC Groups Combined|59815030|0-14|All Races|Male and Female|2001
48.6|52.2|50.4|2996|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|59815030|0-14|All Races|Male and Female|2001
15.0|17.0|16.0|962|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|59815030|0-14|All Races|Male and Female|2001
31.4|34.3|32.8|1958|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|59815030|0-14|All Races|Male and Female|2001
2.3|3.2|2.7|164|IIIa Ependymomas and choroid plexus tumor|59815030|0-14|All Races|Male and Female|2001
15.3|17.4|16.3|973|IIIb Astrocytomas|59815030|0-14|All Races|Male and Female|2001
6.6|8.0|7.3|436|IIIc Intracranial and intraspinal embryonal tumors|59815030|0-14|All Races|Male and Female|2001
4.8|6.0|5.4|320|IIId Other gliomas|59815030|0-14|All Races|Male and Female|2001
0.5|0.9|0.7|42|IIIe Other specified intracranial and intraspinal neoplasms|59815030|0-14|All Races|Male and Female|2001
0.2|0.6|0.4|23|IIIf Unspecified intracranial and intraspinal neoplasms|59815030|0-14|All Races|Male and Female|2001
5.3|6.6|5.9|357|IIa Hodgkin lymphomas|59815030|0-14|All Races|Male and Female|2001
5.8|7.1|6.4|387|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|59815030|0-14|All Races|Male and Female|2001
1.9|2.7|2.3|135|IIc Burkitt lymphoma|59815030|0-14|All Races|Male and Female|2001
0.8|1.3|1.0|60|IId Miscellaneous lymphoreticular neoplasms|59815030|0-14|All Races|Male and Female|2001
0.2|0.6|0.4|23|IIe Unspecified lymphomas|59815030|0-14|All Races|Male and Female|2001
10.7|12.5|11.6|694|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|59815030|0-14|All Races|Male and Female|2001
10.6|12.3|11.4|684|IVa Neuroblastoma and ganglioneuroblastoma|59815030|0-14|All Races|Male and Female|2001
~|~|~|~|IVb Other peripheral nervous cell tumors|59815030|0-14|All Races|Male and Female|2001
9.5|11.2|10.3|619|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|59815030|0-14|All Races|Male and Female|2001
4.5|5.6|5.0|298|IXa Rhabdomyosarcomas|59815030|0-14|All Races|Male and Female|2001
1.0|1.6|1.3|76|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|59815030|0-14|All Races|Male and Female|2001
~|~|~|~|IXc Kaposi sarcoma|59815030|0-14|All Races|Male and Female|2001
2.7|3.6|3.1|186|IXd Other specified soft tissue sarcomas|59815030|0-14|All Races|Male and Female|2001
0.7|1.3|1.0|59|IXe Unspecified soft tissue sarcomas|59815030|0-14|All Races|Male and Female|2001
37.0|40.2|38.6|2289|Ia Lymphoid leukemias|59815030|0-14|All Races|Male and Female|2001
6.7|8.1|7.3|440|Ib Acute myeloid leukemias|59815030|0-14|All Races|Male and Female|2001
1.4|2.0|1.7|101|Ic Chronic myeloproliferative diseases|59815030|0-14|All Races|Male and Female|2001
1.3|2.0|1.6|96|Id Myelodysplastic syndrome and other myeloproliferative diseases|59815030|0-14|All Races|Male and Female|2001
0.9|1.5|1.2|70|Ie Unspecified and other specified leukemias|59815030|0-14|All Races|Male and Female|2001
~|~|~|~|Not classified by ICCC|59815030|0-14|All Races|Male and Female|2001
3.9|5.0|4.4|266|V RETINOBLASTOMA|59815030|0-14|All Races|Male and Female|2001
7.9|9.4|8.6|511|VI RENAL TUMORS|59815030|0-14|All Races|Male and Female|2001
1.9|2.6|2.2|134|VII HEPATIC TUMORS|59815030|0-14|All Races|Male and Female|2001
6.4|7.7|7.0|424|VIII MALIGNANT BONE TUMORS|59815030|0-14|All Races|Male and Female|2001
3.4|4.4|3.8|232|VIIIa Osteosarcomas|59815030|0-14|All Races|Male and Female|2001
~|~|~|~|VIIIb Chondrosarcomas|59815030|0-14|All Races|Male and Female|2001
2.3|3.1|2.7|160|VIIIc Ewing tumor and related sarcomas of bone|59815030|0-14|All Races|Male and Female|2001
~|~|~|~|VIIId Other specified malignant bone tumors|59815030|0-14|All Races|Male and Female|2001
~|~|~|~|VIIIe Unspecified malignant bone tumors|59815030|0-14|All Races|Male and Female|2001
1.5|2.2|1.8|108|VIIa Hepatoblastoma and mesenchymal tumors of liver|59815030|0-14|All Races|Male and Female|2001
0.3|0.6|0.4|25|VIIb Hepatic carcinomas|59815030|0-14|All Races|Male and Female|2001
~|~|~|~|VIIc Unspecified malignant hepatic tumors|59815030|0-14|All Races|Male and Female|2001
7.5|9.0|8.2|489|VIa Nephroblastoma and other non-epithelial renal tumors|59815030|0-14|All Races|Male and Female|2001
0.2|0.5|0.3|20|VIb Renal carcinomas|59815030|0-14|All Races|Male and Female|2001
~|~|~|~|VIc Unspecified malignant renal tumors|59815030|0-14|All Races|Male and Female|2001
4.5|5.6|5.0|303|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|59815030|0-14|All Races|Male and Female|2001
6.0|7.3|6.6|399|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|59815030|0-14|All Races|Male and Female|2001
0.5|1.0|0.7|43|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|59815030|0-14|All Races|Male and Female|2001
0.2|0.6|0.4|23|XIIa Other specified malignant tumors|59815030|0-14|All Races|Male and Female|2001
0.2|0.5|0.3|20|XIIb Other unspecified malignant tumors|59815030|0-14|All Races|Male and Female|2001
0.2|0.5|0.3|17|XIa Adrenocortical carcinomas|59815030|0-14|All Races|Male and Female|2001
2.0|2.7|2.3|141|XIb Thyroid carcinomas|59815030|0-14|All Races|Male and Female|2001
0.2|0.5|0.3|19|XIc Nasopharyngeal carcinomas|59815030|0-14|All Races|Male and Female|2001
1.7|2.4|2.0|122|XId Malignant melanomas|59815030|0-14|All Races|Male and Female|2001
~|~|~|~|XIe Skin carcinomas|59815030|0-14|All Races|Male and Female|2001
1.3|2.0|1.6|97|XIf Other and unspecified carcinomas|59815030|0-14|All Races|Male and Female|2001
1.0|1.6|1.3|79|Xa Intracranial and intraspinal germ cell tumors|59815030|0-14|All Races|Male and Female|2001
1.1|1.7|1.4|84|Xb Malignant extracranial and extragonadal germ cell tumors|59815030|0-14|All Races|Male and Female|2001
1.7|2.4|2.0|121|Xc Malignant gonadal germ cell tumors|59815030|0-14|All Races|Male and Female|2001
~|~|~|~|Xd Gonadal carcinomas|59815030|0-14|All Races|Male and Female|2001
~|~|~|~|Xe Other and unspecified malignant gonadal tumors|59815030|0-14|All Races|Male and Female|2001
151.5|157.9|154.7|9269|All ICCC Groups Combined|59931314|0-14|All Races|Male and Female|2002
47.5|51.0|49.2|2938|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|59931314|0-14|All Races|Male and Female|2002
14.6|16.7|15.6|944|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|59931314|0-14|All Races|Male and Female|2002
33.0|36.0|34.5|2061|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|59931314|0-14|All Races|Male and Female|2002
3.1|4.1|3.6|215|IIIa Ependymomas and choroid plexus tumor|59931314|0-14|All Races|Male and Female|2002
15.5|17.6|16.5|986|IIIb Astrocytomas|59931314|0-14|All Races|Male and Female|2002
6.7|8.1|7.4|440|IIIc Intracranial and intraspinal embryonal tumors|59931314|0-14|All Races|Male and Female|2002
5.3|6.6|5.9|353|IIId Other gliomas|59931314|0-14|All Races|Male and Female|2002
0.5|1.0|0.7|43|IIIe Other specified intracranial and intraspinal neoplasms|59931314|0-14|All Races|Male and Female|2002
0.3|0.6|0.4|24|IIIf Unspecified intracranial and intraspinal neoplasms|59931314|0-14|All Races|Male and Female|2002
4.9|6.1|5.5|335|IIa Hodgkin lymphomas|59931314|0-14|All Races|Male and Female|2002
5.4|6.7|6.0|364|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|59931314|0-14|All Races|Male and Female|2002
2.3|3.2|2.7|163|IIc Burkitt lymphoma|59931314|0-14|All Races|Male and Female|2002
0.9|1.5|1.2|71|IId Miscellaneous lymphoreticular neoplasms|59931314|0-14|All Races|Male and Female|2002
~|~|~|~|IIe Unspecified lymphomas|59931314|0-14|All Races|Male and Female|2002
10.2|11.9|11.1|662|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|59931314|0-14|All Races|Male and Female|2002
10.1|11.8|10.9|655|IVa Neuroblastoma and ganglioneuroblastoma|59931314|0-14|All Races|Male and Female|2002
~|~|~|~|IVb Other peripheral nervous cell tumors|59931314|0-14|All Races|Male and Female|2002
9.9|11.6|10.7|644|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|59931314|0-14|All Races|Male and Female|2002
4.6|5.8|5.2|310|IXa Rhabdomyosarcomas|59931314|0-14|All Races|Male and Female|2002
0.9|1.4|1.1|69|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|59931314|0-14|All Races|Male and Female|2002
~|~|~|~|IXc Kaposi sarcoma|59931314|0-14|All Races|Male and Female|2002
3.0|4.0|3.5|210|IXd Other specified soft tissue sarcomas|59931314|0-14|All Races|Male and Female|2002
0.7|1.2|0.9|55|IXe Unspecified soft tissue sarcomas|59931314|0-14|All Races|Male and Female|2002
35.3|38.4|36.8|2191|Ia Lymphoid leukemias|59931314|0-14|All Races|Male and Female|2002
7.3|8.8|8.0|482|Ib Acute myeloid leukemias|59931314|0-14|All Races|Male and Female|2002
1.3|1.9|1.6|96|Ic Chronic myeloproliferative diseases|59931314|0-14|All Races|Male and Female|2002
1.3|2.0|1.6|97|Id Myelodysplastic syndrome and other myeloproliferative diseases|59931314|0-14|All Races|Male and Female|2002
0.9|1.5|1.2|72|Ie Unspecified and other specified leukemias|59931314|0-14|All Races|Male and Female|2002
0.2|0.5|0.3|19|Not classified by ICCC|59931314|0-14|All Races|Male and Female|2002
3.3|4.3|3.7|224|V RETINOBLASTOMA|59931314|0-14|All Races|Male and Female|2002
7.5|9.0|8.3|491|VI RENAL TUMORS|59931314|0-14|All Races|Male and Female|2002
1.8|2.5|2.1|126|VII HEPATIC TUMORS|59931314|0-14|All Races|Male and Female|2002
6.2|7.6|6.9|416|VIII MALIGNANT BONE TUMORS|59931314|0-14|All Races|Male and Female|2002
3.2|4.1|3.6|220|VIIIa Osteosarcomas|59931314|0-14|All Races|Male and Female|2002
~|~|~|~|VIIIb Chondrosarcomas|59931314|0-14|All Races|Male and Female|2002
2.2|3.0|2.6|157|VIIIc Ewing tumor and related sarcomas of bone|59931314|0-14|All Races|Male and Female|2002
0.2|0.6|0.4|22|VIIId Other specified malignant bone tumors|59931314|0-14|All Races|Male and Female|2002
~|~|~|~|VIIIe Unspecified malignant bone tumors|59931314|0-14|All Races|Male and Female|2002
1.4|2.1|1.7|104|VIIa Hepatoblastoma and mesenchymal tumors of liver|59931314|0-14|All Races|Male and Female|2002
0.2|0.5|0.3|21|VIIb Hepatic carcinomas|59931314|0-14|All Races|Male and Female|2002
~|~|~|~|VIIc Unspecified malignant hepatic tumors|59931314|0-14|All Races|Male and Female|2002
7.3|8.8|8.0|477|VIa Nephroblastoma and other non-epithelial renal tumors|59931314|0-14|All Races|Male and Female|2002
~|~|~|~|VIb Renal carcinomas|59931314|0-14|All Races|Male and Female|2002
~|~|~|~|VIc Unspecified malignant renal tumors|59931314|0-14|All Races|Male and Female|2002
4.7|5.8|5.2|316|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|59931314|0-14|All Races|Male and Female|2002
5.8|7.1|6.4|392|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|59931314|0-14|All Races|Male and Female|2002
0.4|0.8|0.6|36|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|59931314|0-14|All Races|Male and Female|2002
0.2|0.6|0.4|22|XIIa Other specified malignant tumors|59931314|0-14|All Races|Male and Female|2002
~|~|~|~|XIIb Other unspecified malignant tumors|59931314|0-14|All Races|Male and Female|2002
~|~|~|~|XIa Adrenocortical carcinomas|59931314|0-14|All Races|Male and Female|2002
1.7|2.4|2.0|123|XIb Thyroid carcinomas|59931314|0-14|All Races|Male and Female|2002
~|~|~|~|XIc Nasopharyngeal carcinomas|59931314|0-14|All Races|Male and Female|2002
1.9|2.7|2.3|138|XId Malignant melanomas|59931314|0-14|All Races|Male and Female|2002
~|~|~|~|XIe Skin carcinomas|59931314|0-14|All Races|Male and Female|2002
1.3|1.9|1.6|97|XIf Other and unspecified carcinomas|59931314|0-14|All Races|Male and Female|2002
1.1|1.7|1.4|84|Xa Intracranial and intraspinal germ cell tumors|59931314|0-14|All Races|Male and Female|2002
1.2|1.8|1.5|89|Xb Malignant extracranial and extragonadal germ cell tumors|59931314|0-14|All Races|Male and Female|2002
1.8|2.6|2.2|133|Xc Malignant gonadal germ cell tumors|59931314|0-14|All Races|Male and Female|2002
~|~|~|~|Xd Gonadal carcinomas|59931314|0-14|All Races|Male and Female|2002
~|~|~|~|Xe Other and unspecified malignant gonadal tumors|59931314|0-14|All Races|Male and Female|2002
148.8|155.0|151.9|9228|All ICCC Groups Combined|60628650|0-14|All Races|Male and Female|2003
45.7|49.2|47.4|2868|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|60628650|0-14|All Races|Male and Female|2003
15.1|17.2|16.1|982|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|60628650|0-14|All Races|Male and Female|2003
31.5|34.4|32.9|1990|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|60628650|0-14|All Races|Male and Female|2003
2.1|2.9|2.5|149|IIIa Ependymomas and choroid plexus tumor|60628650|0-14|All Races|Male and Female|2003
15.5|17.5|16.5|998|IIIb Astrocytomas|60628650|0-14|All Races|Male and Female|2003
